id,feature1,feature2,time
0,9,8,0.4839578575036334
1,1,9,0.6414142391500688
2,7,4,0.8973545558071818
3,5,8,0.19099095850908798
4,0,6,0.7744349524200357
5,9,3,0.3644141338989678
6,1,1,0.906442591093501
7,2,6,0.5434828408727836
8,7,4,0.37457083164525273
9,2,5,0.25935611555011795
10,6,9,0.12832719136932935
11,4,4,0.8113462859829875
12,7,4,0.3936259619130099
13,9,8,0.6480069911724045
14,8,4,0.2758005655878045
15,2,9,0.28590624927767616
16,1,6,0.5787219981557497
17,2,0,0.4493442604190102
18,7,2,0.5969816256928538
19,7,6,0.16743873970250822
20,6,8,0.8866029346291004
21,7,7,0.21937061989234619
22,2,6,0.4373032598944486
23,4,7,0.8811806429034466
24,2,1,0.24997723169841823
25,1,6,0.6656045646887325
26,7,5,0.438787893914968
27,3,2,0.4514272382571113
28,3,2,0.10109291190619363
29,7,4,0.5782954359698989
30,6,1,0.20152767657873838
31,2,8,0.14636867560866518
32,0,7,0.7858810456552072
33,5,6,0.8875450571136679
34,3,0,0.4569197660359745
35,7,2,0.5395000949450063
36,2,5,0.4378582650412782
37,1,4,0.826814845841242
38,2,8,0.6753605879899607
39,4,3,0.7063350227598874
40,6,5,0.24399613344951887
41,2,2,0.6995159611041218
42,8,0,0.6335015069127637
43,2,2,0.23758764800138032
44,9,3,0.17933515591507465
45,8,7,0.8871307115208662
46,6,5,0.7264317722419289
47,9,8,0.19855764730853032
48,5,7,0.48932952647099837
49,0,5,0.7831909810890216
50,3,8,0.24574100528037957
51,0,6,0.7359299084596902
52,6,8,0.711434925376356
53,9,6,0.25596142703969094
54,2,7,0.20842102337160784
55,2,6,0.5332813995995469
56,0,3,0.7260036204334029
57,5,8,0.9458465494638544
58,6,1,0.359272671451043
59,6,2,0.6439794724386245
60,2,0,0.8258045616256446
61,5,7,0.6875019096932155
62,5,8,0.21595123332339627
63,5,5,0.16464120965113271
64,9,5,0.2492576696377029
65,4,3,0.9793088550632373
66,7,9,0.46129180659831626
67,7,3,0.6912151769087863
68,6,0,0.9728885177195693
69,6,2,0.3164162237030953
70,7,8,0.9735755495157216
71,9,1,0.9254545277271464
72,6,3,0.8184940398443307
73,7,1,0.8679348091852634
74,1,1,0.5146113218361772
75,2,5,0.4114240547619801
76,2,6,0.3954513496307437
77,0,2,0.2306547823218924
78,7,3,0.7700565248569418
79,9,7,0.5639025598402836
80,9,9,0.20440019851887925
81,1,7,0.4924124827210322
82,2,5,0.14825131342416564
83,0,4,0.8240860676454103
84,3,0,0.27476031083573715
85,6,6,0.3913100847220331
86,3,0,0.1179234988793968
87,4,1,0.9646368640004306
88,1,8,0.715926954818032
89,1,7,0.026294610307492805
90,9,2,0.2965344036949932
91,5,3,0.07731427275934222
92,0,1,0.08802058148219727
93,9,8,0.3380731956542805
94,2,7,0.5221320413018039
95,5,8,0.600681634666117
96,5,1,0.21190353204056134
97,1,7,0.5360706663819069
98,3,1,0.8120695618267193
99,9,4,0.44048695839259955
